Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"6,3557E-19","-2,7105E-20",0,0,0,0,"1,44E-05","1,3872E-11","-4,7222E-28","-2,4678E-43","1,3872E-11","-3,9464E-44","2,16E-11",0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/base_link.STL,,base_link-1,base_footprint <base_link-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
chasis_link,"-1,6049E-05","0,00031379","0,012018",0,0,0,"0,44728","0,0007822","1,2698E-11","1,1558E-14","0,00098484","1,1391E-07","0,0015565",0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/chasis_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/chasis_link.STL,,patadrone3definitiva-4;patadrone3definitiva-2;FlameWheel_F450_Base_Bottom-1;patadrone3definitiva-3;patadrone3definitiva-1;Turnigy_18_11_2000kv-3;FlameWheel_F450_Arm_Red-2;Turnigy_18_11_2000kv-5;FlameWheel_F450_Base_Top-1;FlameWheel_F450_Arm_White-1;FlameWheel_F450_Arm_White-2;FlameWheel_F450_Arm_Red-1;Turnigy_18_11_2000kv-4;Turnigy_18_11_2000kv-2,base_coordinate_frame,axis_base,joint_chasis,fixed,0,0,"0,0008",0,0,0,base_link,0,0,0,,,,,,,,,,,,
propeller_1_link,"3,5799E-07","3,6139E-07","-0,00082037",0,0,0,"0,00082772","3,593E-07","-3,6419E-07","2,9799E-13","3,8272E-07","2,4963E-13","7,3988E-07",0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_1_link.STL,"0,1098","0,1098","0,1098",1,0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_1_link.STL,,5x3R_Propeller-1,propeller_1_coordinate_frame,axis_propeller_1,joint_propeller_1,revolute,"0,15891","0,15872","0,062676",0,0,"0,7854",chasis_link,0,0,-1,0,0,0,0,,,,,,,,
propeller_2_link,"-3,63379773493655E-07","3,64833703747625E-07","-0,000820365008767927",0,0,0,"0,000827721182106375","3,82722732347651E-07","3,64185600568519E-07","-2,37806595900958E-13","3,59296256863344E-07","2,68848157881329E-13","7,39882465410675E-07",0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_2_link.STL,"0,109803921568627","0,109803921568627","0,109803921568627",1,0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_2_link.STL,,5x3L_Propeller-1,propeller_2_coordinate_frame,axis_propeller_2,joint_propeller_2,revolute,"0,1589","-0,15909","0,062676",0,0,"-0,7854",chasis_link,0,0,-1,0,0,0,0,,,,,,,,
propeller_3_link,"3,59348555689643E-07","3,87399358259266E-07","-0,000820367506119246",0,0,0,"0,000827722589736431","3,59296291041373E-07","-3,64185676834099E-07","2,96727292541656E-13","3,82722801283459E-07","2,70904960417478E-13","7,39882553724865E-07",0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_3_link.STL,"0,109803921568627","0,109803921568627","0,109803921568627",1,0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_3_link.STL,,5x3R_Propeller-2,propeller_3_coordinate_frame,axis_propeller_3,joint_propeller_3,revolute,"-0,15891","-0,15908","0,062676",0,0,"0,7854",chasis_link,0,0,-1,0,0,0,0,,,,,,,,
propeller_4_link,"-3,69099850516807E-07","3,563222837899E-07","-0,000820368385214279",0,0,0,"0,000827722463176095","3,82722692178188E-07","3,6418565735908E-07","-2,4900304347919E-13","3,59296408726141E-07","2,7923777957287E-13","7,39882566322064E-07",0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_4_link.STL,"0,109803921568627","0,109803921568627","0,109803921568627",1,0,0,0,0,0,0,package://FlameWheel_F450_block/meshes/propeller_4_link.STL,,5x3L_Propeller-2,propeller_4_coordinate_frame,axis_propeller_4,joint_propeller_4,revolute,"-0,1589","0,15873","0,062676",0,0,"-0,7854",chasis_link,0,0,-1,0,0,0,0,,,,,,,,
